,subject,predicate,object
806,Hyena,type,Mammal
810,Hyena,type,Animal
813,Hyena,type,Eukaryote
815,Hyena,type,BiologicalLivingObject
818,Jackal,abstract,"Jackals are medium-sized omnivorous mammals of the genus Canis, a genus which also includes wolves and the domestic dog. While the word ""jackal"" has historically been used for many small canids, in modern use it most commonly refers to three species: the closely related black-backed jackal and side-striped jackal of sub-Saharan Africa, and the golden jackal of south-central Eurasia, which is more closely related to other members of the genus Canis. Jackals are opportunistic omnivores, predators of small to medium-sized animals and proficient scavengers. Their long legs and curved canine teeth are adapted for hunting small mammals, birds, and reptiles, and their large feet and fused leg bones give them a physique well-suited for long-distance running, capable of maintaining speeds of 16 km/h (9.9 mph) for extended periods of time. Jackals are crepuscular, most active at dawn and dusk. Their most common social unit is a monogamous pair, which defends its territory from other pairs by vigorously chasing intruding rivals and marking landmarks around the territory with their urine and feces. The territory may be large enough to hold some young adults, which stay with their parents until they establish their own territories. Jackals may occasionally assemble in small packs, for example, to scavenge a carcass, but they normally hunt either alone or in pairs."
819,Jackal,type,Animal
820,Jackal,type,BiologicalLivingObject
821,Jackal,type,Eukaryote
822,Jackal,type,Mammal
823,Jackal,type,Insect
824,Jaguar,abstract,"The jaguar (Panthera onca) is a large felid species and the only extant member of the genus Panthera native to the Americas. The jaguar's present range extends from Southwestern United States and Mexico in North America, across much of Central America, and south to Paraguay and northern Argentina in South America. Though there are single cats now living within the Western United States, the species has largely been extirpated from the United States since the early 20th century. It is listed as Near Threatened on the IUCN Red List; and its numbers are declining. Threats include loss and fragmentation of habitat. Overall, the jaguar is the largest native cat species of the New World and the third largest in the world. This spotted cat closely resembles the leopard, but is usually larger and sturdier. It ranges across a variety of forested and open terrains, but its preferred habitat is tropical and subtropical moist broadleaf forest, swamps and wooded regions. The jaguar enjoys swimming and is largely a solitary, opportunistic, stalk-and-ambush predator at the top of the food chain. As a keystone species it plays an important role in stabilizing ecosystems and regulating prey populations. While international trade in jaguars or their body parts is prohibited, the cat is still frequently killed, particularly in conflicts with ranchers and farmers in South America. Although reduced, its range remains large. Given its historical distribution, the jaguar has featured prominently in the mythology of numerous indigenous American cultures, including those of the Maya and Aztec."
825,Jaguar,type,BiologicalLivingObject
826,Jaguar,type,Mammal
828,Jaguar,type,Animal
830,Jaguar,type,Eukaryote
831,Blue,abstract,"Blue is one of the three primary colours of pigments in painting and traditional colour theory, as well as in the RGB colour model. It lies between violet and green on the spectrum of visible light. The eye perceives blue when observing light with a dominant wavelength between approximately 450 and 495 nanometres. Most blues contain a slight mixture of other colours; azure contains some green, while ultramarine contains some violet. The clear daytime sky and the deep sea appear blue because of an optical effect known as Rayleigh scattering. An optical effect called Tyndall scattering explains blue eyes. Distant objects appear more blue because of another optical effect called aerial perspective. Blue has been an important colour in art and decoration since ancient times. The semi-precious stone lapis lazuli was used in ancient Egypt for jewellery and ornament and later, in the Renaissance, to make the pigment ultramarine, the most expensive of all pigments. In the eighth century Chinese artists used cobalt blue to colour fine blue and white porcelain. In the Middle Ages, European artists used it in the windows of cathedrals. Europeans wore clothing coloured with the vegetable dye woad until it was replaced by the finer indigo from America. In the 19th century, synthetic blue dyes and pigments gradually replaced mineral pigments and synthetic dyes. Dark blue became a common colour for military uniforms and later, in the late 20th century, for business suits. Because blue has commonly been associated with harmony, it was chosen as the colour of the flags of the United Nations and the European Union. Surveys in the US and Europe show that blue is the colour most commonly associated with harmony, faithfulness, confidence, distance, infinity, the imagination, cold, and sometimes with sadness. In US and European public opinion polls it is the most popular colour, chosen by almost half of both men and women as their favourite colour. The same surveys also showed that blue was the colour most associated with the masculine, just ahead of black, and was also the colour most associated with intelligence, knowledge, calm and concentration."
835,Jellyfish,abstract,"Jellyfish and sea jellies are the informal common names given to the medusa-phase of certain gelatinous members of the subphylum Medusozoa, a major part of the phylum Cnidaria. Jellyfish are mainly free-swimming marine animals with umbrella-shaped bells and trailing tentacles, although a few are not mobile, being anchored to the seabed by stalks. The bell can pulsate to provide propulsion and highly efficient locomotion. The tentacles are armed with stinging cells and may be used to capture prey and defend against predators. Jellyfish have a complex life cycle; the medusa is normally the sexual phase, the planula larva can disperse widely and is followed by a sedentary polyp phase. Jellyfish are found all over the world, from surface waters to the deep sea. Scyphozoans (the ""true jellyfish"") are exclusively marine, but some hydrozoans with a similar appearance live in freshwater. Large, often colorful, jellyfish are common in coastal zones worldwide. The medusae of most species are fast growing, mature within a few months and die soon after breeding, but the polyp stage, attached to the seabed, may be much more long-lived. Jellyfish have been in existence for at least 500 million years, and possibly 700 million years or more, making them the oldest multi-organ animal group. Jellyfish are eaten by humans in certain cultures. They are considered a delicacy in some Asian countries, where species in the Rhizostomae order are pressed and salted to remove excess water. They are also used in research, where the green fluorescent protein used by some species to cause bioluminescence has been adapted as a fluorescent marker for genes inserted into other cells or organisms. The stinging cells used by jellyfish to subdue their prey can also injure humans. Many thousands of swimmers are stung every year, with effects ranging from mild discomfort to serious injury or even death; small box jellyfish are responsible for many of these deaths. When conditions are favourable, jellyfish can form vast swarms. These can be responsible for damage to fishing gear by filling fishing nets, and sometimes clog the cooling systems of power and desalination plants which draw their water from the sea."
836,Jellyfish,type,BiologicalLivingObject
838,Jellyfish,type,Eukaryote
839,Jellyfish,type,Animal
840,Jellyfish,type,Animal
841,Kangaroo,abstract,"The kangaroo is a marsupial from the family Macropodidae (macropods, meaning ""large foot""). In common use the term is used to describe the largest species from this family, the red kangaroo, as well as the antilopine kangaroo, eastern grey kangaroo, and western grey kangaroo. Kangaroos are indigenous to Australia. The Australian government estimates that 34.3 million kangaroos lived within the commercial harvest areas of Australia in 2011, up from 25.1 million one year earlier. As with the terms ""wallaroo"" and ""wallaby"", ""kangaroo"" refers to a paraphyletic grouping of species. All three refer to members of the same taxonomic family, Macropodidae, and are distinguished according to size. The largest species in the family are called ""kangaroos"" and the smallest are generally called ""wallabies"". The term ""wallaroos"" refers to species of an intermediate size. There are also the tree-kangaroos, another type of macropod, which inhabit the tropical rainforests of New Guinea, far northeastern Queensland and some of the islands in the region. A general idea of the relative size of these informal terms could be: 
* wallabies: head and body length of 45â€“105 cm and tail length of 33â€“75 cm; The dwarf wallaby (the smallest species) is 46 cm long and weighs 1.6 kg; 
* tree-kangaroos: ranging from Lumholtz's tree-kangaroo: body and head length of 48â€“65 cm, tail of 60â€“74 cm, weight of 7.2 kg (16 lb) for males and 5.9 kg (13 lb) for females; to the grizzled tree-kangaroo: length of 75â€“90 cm (30 to 35 in) and weight of 8â€“15 kg (18â€“33 lb); 
* wallaroos: the black wallaroo (the smallest species) with a tail length of 60â€“70 cm and weight of 19â€“22 kg (41.8â€“48.5 lb) for males and 13 kg (28.6 lb) for females; 
* kangaroos: a large male can be 2 m (6 ft 7 in) tall and weigh 90 kg (200 lb). Kangaroos have large, powerful hind legs, large feet adapted for leaping, a long muscular tail for balance, and a small head. Like most marsupials, female kangaroos have a pouch called a marsupium in which joeys complete postnatal development. The large kangaroos have adapted much better than the smaller macropods to land clearing for pastoral agriculture and habitat changes brought to the Australian landscape by humans. Many of the smaller species are rare and endangered, while kangaroos are relatively plentiful. The kangaroo is a symbol of Australia and appears on the Australian coat of arms and on some of its currency and is used by some of Australia's well known organisations, including Qantas and the Royal Australian Air Force. The kangaroo is important to both Australian culture and the national image, and consequently there are numerous popular culture references. Wild kangaroos are shot for meat, leather hides, and to protect grazing land. Although controversial, kangaroo meat has perceived health benefits for human consumption compared with traditional meats due to the low level of fat on kangaroos."
843,Kangaroo,type,Insect
844,Koala,abstract,"The koala or, inaccurately, koala bear (Phascolarctos cinereus) is an arboreal herbivorous marsupial native to Australia. It is the only extant representative of the family Phascolarctidae and its closest living relatives are the wombats, which are members of the family Vombatidae. The koala is found in coastal areas of the mainland's eastern and southern regions, inhabiting Queensland, New South Wales, Victoria, and South Australia. It is easily recognisable by its stout, tailless body and large head with round, fluffy ears and large, spoon-shaped nose. The koala has a body length of 60â€“85 cm (24â€“33 in) and weighs 4â€“15 kg (9â€“33 lb). Fur colour ranges from silver grey to chocolate brown. Koalas from the northern populations are typically smaller and lighter in colour than their counterparts further south. These populations possibly are separate subspecies, but this is disputed. Koalas typically inhabit open eucalypt woodlands, and the leaves of these trees make up most of their diet. Because this eucalypt diet has limited nutritional and caloric content, koalas are largely sedentary and sleep up to 20 hours a day. They are asocial animals, and bonding exists only between mothers and dependent offspring. Adult males communicate with loud bellows that intimidate rivals and attract mates. Males mark their presence with secretions from scent glands located on their chests. Being marsupials, koalas give birth to underdeveloped young that crawl into their mothers' pouches, where they stay for the first six to seven months of their lives. These young koalas, known as joeys, are fully weaned around a year old. Koalas have few natural predators and parasites, but are threatened by various pathogens, such as Chlamydiaceae bacteria and the koala retrovirus. Koalas were hunted by Indigenous Australians and depicted in myths and cave art for millennia. The first recorded encounter between a European and a koala was in 1798, and an image of the animal was published in 1810 by naturalist George Perry. Botanist Robert Brown wrote the first detailed scientific description of the koala in 1814, although his work remained unpublished for 180 years. Popular artist John Gould illustrated and described the koala, introducing the species to the general British public. Further details about the animal's biology were revealed in the 19th century by several English scientists. Because of its distinctive appearance, the koala is recognised worldwide as a symbol of Australia. Koalas are listed as Vulnerable by the International Union for Conservation of Nature. The animal was hunted heavily in the early 20th century for its fur, and large-scale cullings in Queensland resulted in a public outcry that initiated a movement to protect the species. Sanctuaries were established, and translocation efforts moved to new regions koalas whose habitat had become fragmented or reduced. Among the many threats to their existence are habitat destruction caused by agriculture, urbanisation, droughts and associated bushfires, some related to climate change. Increased habitat loss may also increase risks from vehicle traffic, dog attacks, pesticides in waterways, and increased food competition."
845,Koala,type,BiologicalLivingObject
846,Koala,type,Eukaryote
847,Koala,type,Mammal
850,Koala,type,Animal
851,Komodo_dragon,abstract,"The Komodo dragon (Varanus komodoensis), also known as the Komodo monitor, is a species of lizard found in the Indonesian islands of Komodo, Rinca, Flores, and Gili Motang. A member of the monitor lizard family Varanidae, it is the largest extant species of lizard, growing to a maximum length of 3 metres (10 ft) in rare cases and weighing up to approximately 70 kilograms (150 lb). As a result of their size, these lizards dominate the ecosystems in which they live. Komodo dragons hunt and ambush prey including invertebrates, birds, and mammals. It has been claimed that they have a venomous bite; there are two glands in the lower jaw which secrete several toxic proteins. The biological significance of these proteins is disputed, but the glands have been shown to secrete an anticoagulant. Komodo dragons' group behaviour in hunting is exceptional in the reptile world. The diet of big Komodo dragons mainly consists of Timor deer, though they also eat considerable amounts of carrion. Komodo dragons also occasionally attack humans. Mating begins between May and August, and the eggs are laid in September; as many as 20 eggs are deposited at a time in an abandoned megapode nest or in a self-dug nesting hole. The eggs are incubated for seven to eight months, hatching in April, when insects are most plentiful. Young Komodo dragons are vulnerable and therefore dwell in trees, safe from predators and cannibalistic adults. They take 8 to 9 years to mature, and are estimated to live up to 30 years. Komodo dragons were first recorded by Western scientists in 1910. Their large size and fearsome reputation make them popular zoo exhibits. In the wild, their range has contracted due to human activities, and they are listed as vulnerable by the IUCN. They are protected under Indonesian Law, and Komodo National Park was founded in 1980 to aid protection efforts."
854,Komodo_dragon,type,Reptile
862,Komodo_dragon,type,Eukaryote
867,Komodo_dragon,type,Animal
873,Komodo_dragon,type,BiologicalLivingObject
877,Kouprey,abstract,"The kouprey (Bos sauveli, from Khmer: áž‚áŸ„áž–áŸ’ážšáŸƒ, Khmer pronunciation: [koË prÉ¨j], ""forest ox""; also known as kouproh, ""grey ox"") is a little-known, forest-dwelling, wild bovine species native to Southeast Asia. A young male was sent to the Vincennes Zoo in 1937 where it was described by the French zoologist Achille Urbain and was declared the holotype. The kouprey has a tall, narrow body, long legs, a humped back and long horns. The kouprey has not been sighted since 1969-1970. A camera trapping survey in the region of these sightings failed to document it in 2011. It has been listed as Critically Endangered on the IUCN Red List since 1996."
881,Kouprey,type,Animal
887,Kouprey,type,BiologicalLivingObject
892,Kouprey,type,Mammal
899,Kouprey,type,Eukaryote
904,Kudu,abstract,"The kudus are two species of antelope of the genus Tragelaphus: 
* Lesser kudu, Tragelaphus imberbis, of eastern Africa 
* Greater kudu, Tragelaphus strepsiceros, of eastern and southern Africa The two species of the Kudus look quite similar, though Greaters are larger than the lesser kudu. A large adult male Greater Kudu stands over 5 ft. tall, and a large male Lesser Kudu stand about 4 ft. tall. Both species have long horns, which point upward and slightly back, and curl in a corkscrew shape."
905,Lapwing,abstract,"Vanellinae are any of various crested plovers, family Charadriidae, noted for its slow, irregular wingbeat in flight and a shrill, wailing cry. Its length is 10â€“16 inches. They are a subfamily of medium-sized wading birds which also includes the plovers and dotterels. The Vanellinae are collectively called lapwings but also contain the ancient red-kneed dotterel. A lapwing can be thought of as a larger plover. The traditional terms ""plover"", ""lapwing"" and ""dotterel"" were coined long before modern understandings of the relationships among different groups of birds emerged: in consequence, several of the Vanellinae are still often called ""plovers"", and the reverse also applies, albeit more rarely, to some Charadriinae (the ""true"" plovers and dotterels). A group of lapwings is called a ""deceit."" In Europe's Anglophone countries, lapwing refers specifically to the northern lapwing, the only member of this group to occur in most of the continent and thus the first bird to go by the English name lapwing (also known as peewit or pyewipe)."
907,Lapwing,type,Animal
908,Lapwing,type,BiologicalLivingObject
909,Lapwing,type,Bird
913,Lapwing,type,Eukaryote
917,Lapwing,type,Insect
918,Lark,abstract,"Larks are passerine birds of the family Alaudidae. Larks have a cosmopolitan distribution with the largest number of species occurring in Africa. Only a single species, the horned lark, occurs in North America, and only Horsfield's bush lark occurs in Australia. Habitats vary widely, but many species live in dry regions."
919,Lark,type,Eukaryote
920,Lark,type,BiologicalLivingObject
921,Lark,type,Animal
922,Lark,type,Bird
923,Lark,type,Insect
924,Lemur,abstract,"Lemurs ( () LEE-mÉ™r) (from Latin lemures â€“ ghosts or spirits) are mammals of the order Primates, divided into 8 families and consisting of 15 genera and around 100 existing species. They are native only to the island of Madagascar. Most existing lemurs are small, have a pointed snout, large eyes, and a long tail. They chiefly live in trees (arboreal), and are active at night (nocturnal). Lemurs share resemblance with other primates, but evolved independently from monkeys and apes. Due to Madagascar's highly seasonal climate, lemur evolution has produced a level of species diversity rivaling that of any other primate group. Until shortly after humans arrived on the island around 2,000 years ago, there were lemurs as large as a male gorilla. Most species have been discovered or promoted to full species status since the 1990s; however, lemur taxonomic classification is controversial and depends on which species concept is used. Lemurs range in weight from the 30-gram (1.1 oz) mouse lemur to the 9-kilogram (20 lb) indri. Lemurs share many common basal primate traits, such as divergent digits on their hands and feet, and nails instead of claws (in most species). However, their brain-to-body size ratio is smaller than that of anthropoid primates. As with all strepsirrhine primates, they have a ""wet nose"" (rhinarium). Lemurs are generally the most social of the strepsirrhine primates, and communicate more with scents and vocalizations than with visual signals. Lemurs have a relatively low basal metabolic rate, and as a result may exhibit dormancy such as hibernation or torpor. They also have seasonal breeding and female social dominance. Most eat a wide variety of fruits and leaves, while some are specialists. Two species of lemurs may coexist in the same forest due to different diets. Lemur research during the 18th and 19th centuries focused on taxonomy and specimen collection. Modern studies of lemur ecology and behavior did not begin in earnest until the 1950s and 1960s. Initially hindered by political issues on Madagascar during the mid-1970s, field studies resumed in the 1980s. Lemurs are important for research because their mix of ancestral characteristics and traits shared with anthropoid primates can yield insights on primate and human evolution. Many lemur species are threatened with extinction due to habitat loss and hunting. Many lemur species have already gone extinct in the last 2000 years due to human activity, and are collectively referred to as the ""subfossil lemurs"". Although local traditions generally help protect lemurs and their forests, illegal logging, widespread poverty, and political instability hinder and undermine conservation efforts. Because of these threats and their declining numbers, the International Union for Conservation of Nature (IUCN) considers lemurs to be the world's most endangered mammals, noting that as of 2013 up to 90% of all lemur species face extinction within the next 20 to 25 years."
925,Lemur,type,Animal
926,Lemur,type,BiologicalLivingObject
928,Lemur,type,Eukaryote
929,Lemur,type,Mammal
930,Leopard,abstract,"The leopard (Panthera pardus) is one of the five extant species in the genus Panthera, a member of the Felidae. It occurs in a wide range in sub-Saharan Africa, in small parts of Western and Central Asia, on the Indian subcontinent to Southeast and East Asia. It is listed as Vulnerable on the IUCN Red List because leopard populations are threatened by habitat loss and fragmentation, and are declining in large parts of the global range. In Hong Kong, Singapore, Kuwait, Syria, Libya, Tunisia and most likely in Morocco, leopard populations have already been extirpated.Contemporary records suggest that the leopard occurs in only 25% of its historical global range. Leopards are hunted illegally, and their body parts are smuggled in the wildlife trade for medicinal practices and decoration. Compared to other wild cats, the leopard has relatively short legs and a long body with a large skull. Its fur is marked with rosettes. It is similar in appearance to the jaguar, but has a smaller, lighter physique, and its rosettes are generally smaller, more densely packed and without central spots. Both leopards and jaguars that are melanistic are known as black panthers. The leopard is distinguished by its well-camouflaged fur, opportunistic hunting behaviour, broad diet, strength, and its ability to adapt to a variety of habitats ranging from rainforest to steppe, including arid and montane areas. It can run at speeds of up to 58 kilometres per hour (36 mph). The earliest known leopard fossils excavated in Europe are estimated 600,000 years old, dating to the late Early Pleistocene. Leopard fossils were also found in Japan."
932,Leopard,type,Mammal
933,Leopard,type,Eukaryote
934,Leopard,type,BiologicalLivingObject
935,Leopard,type,Animal
936,Lion,abstract,"The lion (Panthera leo) is a species in the family Felidae and a member of the genus Panthera. It is most recognisable for its muscular, deep-chested body, short, rounded head, round ears, and a hairy tuft at the end of its tail. It is sexually dimorphic; adult male lions have a prominent mane. With a typical head-to-body length of 184â€“208 cm (72â€“82 in) they are larger than females at 160â€“184 cm (63â€“72 in). It is a social species, forming groups called prides. A lion pride consists of a few adult males, related females and cubs. Groups of female lions usually hunt together, preying mostly on large ungulates. The lion is an apex and keystone predator, although some lions scavenge when opportunities occur, and have been known to hunt humans, although the species typically does not. Typically, the lion inhabits grasslands and savannas, but is absent in dense forests. It is usually more diurnal than other big cats, but when persecuted it adapts to being active at night and at twilight. In the Pleistocene, the lion ranged throughout Eurasia, Africa and North America, but today it has been reduced to fragmented populations in sub-Saharan Africa and one critically endangered population in western India. It has been listed as Vulnerable on the IUCN Red List since 1996 because populations in African countries have declined by about 43% since the early 1990s. Lion populations are untenable outside designated protected areas. Although the cause of the decline is not fully understood, habitat loss and conflicts with humans are the greatest causes for concern. One of the most widely recognised animal symbols in human culture, the lion has been extensively depicted in sculptures and paintings, on national flags, and in contemporary films and literature. Lions have been kept in menageries since the time of the Roman Empire and have been a key species sought for exhibition in zoological gardens across the world since the late 18th century. Cultural depictions of lions were prominent in the Upper Paleolithic period; carvings and paintings from the Lascaux and Chauvet Caves in France have been dated to 17,000 years ago, and depictions have occurred in virtually all ancient and medieval cultures that coincided with the lion's former and current ranges."
938,Lion,type,BiologicalLivingObject
939,Lion,type,Eukaryote
940,Lion,type,Mammal
947,Lion,type,Animal
950,Llama,abstract,"The llama (; Spanish pronunciation: [ËˆÊŽama]) (Lama glama) is a domesticated South American camelid, widely used as a meat and pack animal by Andean cultures since the Pre-Columbian era. Llamas are very social animals and live with others as a herd. Their wool is very soft and lanolin-free. Llamas can learn simple tasks after a few repetitions. When using a pack, they can carry about 25 to 30% of their body weight for 8 to 13 km (5â€“8 miles). The name llama (in the past also spelled ""lama"" or ""glama"") was adopted by European settlers from native Peruvians. The ancestors of Llamas are thought to have originated from the central plains of North America about 40 million years ago, and susequently migrated to South America about three million years ago during the Great American Interchange. By the end of the last ice age (10,000â€“12,000 years ago), camelids were extinct in North America. As of 2007, there were over seven million llamas and alpacas in South America, and due to importation from South America in the late 20th century, there are now over 158,000 llamas and 100,000 alpacas in the United States and Canada. In Aymara mythology llamas are important beings. The Heavenly Llama is said to drink water from the ocean and urinate it as rain. According to Aymara eschatology llamas will return to the water springs and lagoons where they come from at the end of time."
951,Llama,type,Mammal
952,Llama,type,Eukaryote
954,Llama,type,BiologicalLivingObject
955,Llama,type,Animal
957,Lobster,abstract,"Lobsters are a family (Nephropidae, sometimes also Homeridae) of large marine crustaceans. Lobsters have long bodies with muscular tails, and live in crevices or burrows on the sea floor. Three of their five pairs of legs have claws, including the first pair, which are usually much larger than the others. Highly prized as seafood, lobsters are economically important, and are often one of the most profitable commodities in coastal areas they populate. Commercially important species include two species of Homarus (which looks more like the stereotypical lobster) from the northern Atlantic Ocean, and scampi (which looks more like a shrimp, or a ""mini lobster"") â€“ the Northern Hemisphere genus Nephrops and the Southern Hemisphere genus Metanephrops. Although several other groups of crustaceans have the word ""lobster"" in their names, the unqualified term ""lobster"" generally refers to the clawed lobsters of the family Nephropidae. Clawed lobsters are not closely related to spiny lobsters or slipper lobsters, which have no claws (chelae), or to squat lobsters. The closest living relatives of clawed lobsters are the reef lobsters and the three families of freshwater crayfish."
958,Lobster,type,Eukaryote
960,Lobster,type,BiologicalLivingObject
961,Lobster,type,Crustacean
962,Lobster,type,Animal
963,Lobster,type,Insect
964,Locust,abstract,"Locusts (derived from the Vulgar Latin locusta, meaning grasshopper) are a collection of certain species of short-horned grasshoppers in the family Acrididae that have a swarming phase. These insects are usually solitary, but under certain circumstances they become more abundant and change their behaviour and habits, becoming gregarious. No taxonomic distinction is made between locust and grasshopper species; the basis for the definition is whether a species forms swarms under intermittently suitable conditions. These grasshoppers are normally innocuous, their numbers are low, and they do not pose a major economic threat to agriculture. However, under suitable conditions of drought followed by rapid vegetation growth, serotonin in their brains triggers a dramatic set of changes: they start to breed abundantly, becoming gregarious and nomadic (loosely described as migratory) when their populations become dense enough. They form bands of wingless nymphs which later become swarms of winged adults. Both the bands and the swarms move around and rapidly strip fields and cause damage to crops. The adults are powerful fliers; they can travel great distances, consuming most of the green vegetation wherever the swarm settles. Locusts have formed plagues since prehistory. The ancient Egyptians carved them on their tombs and the insects are mentioned in the Iliad, the Mahabharata, the Bible and the Quran. Swarms have devastated crops and been a contributory cause of famines and human migrations. More recently, changes in agricultural practices and better surveillance of locations where swarms tend to originate, have meant that control measures can be used at an early stage. The traditional means of control are based on the use of insecticides from the ground or the air, but other methods using biological control are proving effective. Swarming behaviour decreased in the 20th century, but despite modern surveillance and control methods, the potential for swarms to form is still present, and when suitable climatic conditions occur and vigilance lapses, plagues can still occur. Locusts are large insects and convenient for use in research and the study of zoology in the classroom. They are also edible insects; they have been eaten throughout history and are considered a delicacy in many countries."
966,Locust,type,Eukaryote
967,Locust,type,BiologicalLivingObject
968,Locust,type,Insect
969,Locust,type,Animal
970,Loris,abstract,"Loris is the common name for the strepsirrhine primates of the subfamily Lorinae (sometimes spelled Lorisinae) in the family Lorisidae. Loris is one genus in this subfamily and includes the slender lorises, while Nycticebus is the genus containing the slow lorises."
971,Loris,type,Mammal
972,Loris,type,Animal
973,Louse,abstract,"Louse (plural: lice) is the common name for members of the order Phthiraptera, which contains nearly 5,000 species of wingless insect. Lice are obligate parasites, living externally on warm-blooded hosts which include every species of bird and mammal, except for monotremes, pangolins, and bats. Lice are vectors of diseases such as typhus. Chewing lice live among the hairs or feathers of their host and feed on skin and debris, while sucking lice pierce the host's skin and feed on blood and other secretions. They usually spend their whole life on a single host, cementing their eggs, called nits, to hairs or feathers. The eggs hatch into nymphs, which moult three times before becoming fully grown, a process that takes about four weeks. Humans host two species of louseâ€”the head louse and the body louse are subspecies of Pediculus humanus; and the pubic louse, Pthirus pubis. The body louse has the smallest genome of any known insect; it has been used as a model organism and has been the subject of much research. Lice were ubiquitous in human society until at least the Middle Ages. They appear in folktales, songs such as The Kilkenny Louse House, and novels such as James Joyce's Finnegans Wake. They commonly feature in the psychiatric disorder delusional parasitosis. A louse was one of the early subjects of microscopy, appearing in Robert Hooke's 1667 book, Micrographia."
974,Louse,type,BiologicalLivingObject
978,Louse,type,Animal
980,Louse,type,Insect
983,Louse,type,Insect
985,Louse,type,Eukaryote
988,Lyrebird,abstract,"A lyrebird is either of two species of ground-dwelling Australian birds that compose the genus Menura, and the family Menuridae. They are most notable for their superb ability to mimic natural and artificial sounds from their environment, and the striking beauty of the male bird's huge tail when it is fanned out in courtship display. Lyrebirds have unique plumes of neutral-coloured tailfeathers and are among Australia's best-known native birds."
989,Lyrebird,type,Insect
990,Lyrebird,type,Animal
991,Lyrebird,type,BiologicalLivingObject
992,Lyrebird,type,Eukaryote
993,Lyrebird,type,Bird
994,Magpie,abstract,"Magpies are birds of the Corvidae family. The black and white Eurasian magpie is widely considered one of the most intelligent animals in the world and one of only a few non-mammal species able to recognize itself in a mirror test. In addition to other members of the genus Pica, corvids considered as magpies are in the genera Cissa, Urocissa and Cyanopica. Magpies of the genus Pica are generally found in temperate regions of Europe, Asia and western North America, with populations also present in Tibet and high elevation areas of India, i.e. Ladakh (Kargil and Leh) and Pakistan. Magpies of the genus Cyanopica are found in East Asia and also the Iberian peninsula. The birds called magpies in Australia are, however, not related to the magpies in the rest of the world (see Australian magpie)."
996,Magpie,type,BiologicalLivingObject
997,Magpie,type,Bird
998,Magpie,type,Eukaryote
999,Magpie,type,Species
1000,Magpie,type,Bird
1001,Magpie,type,Animal
1004,Magpie,type,Animal
1005,Magpie,type,Eukaryote
1006,Mallard,abstract,"The mallard () (Anas platyrhynchos) is a dabbling duck that breeds throughout the temperate and subtropical Americas, Eurosiberia, and North Africa and has been introduced to New Zealand, Australia, Peru, Brazil, Uruguay, Argentina, Chile, Colombia, the Falkland Islands, and South Africa. This duck belongs to the subfamily Anatinae of the waterfowl family Anatidae. The male birds (drakes) have a glossy green head and are grey on their wings and belly, while the females (hens or ducks) have mainly brown-speckled plumage. Both sexes have an area of white-bordered black or iridescent blue feathers called a speculum on their wings; males especially tend to have blue speculum feathers. The mallard is 50â€“65 cm (20â€“26 in) long, of which the body makes up around two-thirds the length. The wingspan is 81â€“98 cm (32â€“39 in) and the bill is 4.4 to 6.1 cm (1.7 to 2.4 in) long. It is often slightly heavier than most other dabbling ducks, weighing 0.72â€“1.58 kg (1.6â€“3.5 lb). Mallards live in wetlands, eat water plants and small animals, and are social animals preferring to congregate in groups or flocks of varying sizes. This species is the main ancestor of most breeds of domesticated ducks. The female lays eight to thirteen creamy white to greenish-buff spotless eggs, on alternate days. Incubation takes 27 to 28 days and fledging takes 50 to 60 days. The ducklings are precocial and fully capable of swimming as soon as they hatch. The mallard is considered to be a species of least concern by the International Union for Conservation of Nature (IUCN). Unlike many waterfowl, mallards are considered an invasive species in some regions. It is a very adaptable species, being able to live and even thrive in urban areas which may have supported more localised, sensitive species of waterfowl before development. The non-migratory mallard interbreeds with indigenous wild ducks of closely related species through genetic pollution by producing fertile offspring. Complete hybridisation of various species of wild duck gene pools could result in the extinction of many indigenous waterfowl. The wild mallard is the ancestor of most domestic ducks, and its naturally evolved wild gene pool gets genetically polluted by the domesticated and feral mallard populations."
1007,Mallard,type,Animal
1008,Mallard,type,BiologicalLivingObject
1009,Mallard,type,Bird
1011,Mallard,type,Eukaryote
1012,Manatee,abstract,"Manatees (family Trichechidae, genus Trichechus) are large, fully aquatic, mostly herbivorous marine mammals sometimes known as sea cows. There are three accepted living species of Trichechidae, representing three of the four living species in the order Sirenia: the Amazonian manatee (Trichechus inunguis), the West Indian manatee (Trichechus manatus), and the West African manatee (Trichechus senegalensis). They measure up to 4.0 metres (13.1 ft) long, weigh as much as 590 kilograms (1,300 lb), and have paddle-like flippers. The etymology of the name is unclear, with connections having been made to Latin manus (â€˜handâ€™), and to a word â€“ sometimes cited as manati â€“ used by the TaÃ­no, a pre-Columbian people of the Caribbean, meaning ""breast"". Manatees' other name, sea cows, comes from the fact that they are slow plant-eaters, peaceful and similar to cows on land. They often graze on water plants in tropical seas."
1013,Manatee,type,BiologicalLivingObject
1017,Manatee,type,Eukaryote
1018,Manatee,type,Mammal
1027,Manatee,type,Animal
1028,Marten,abstract,"The martens constitute the genus Martes within the subfamily Guloninae, in the family Mustelidae. They have bushy tails and large paws with partially retractile claws. The fur varies from yellowish to dark brown, depending on the species, and is valued by trappers for the fur trade. Martens are slender, agile animals, adapted to living in the taiga, and inhabit coniferous and northern deciduous forests across the Northern Hemisphere."
1030,Marten,type,BiologicalLivingObject
1032,Marten,type,Eukaryote
1035,Marten,type,Animal
